SC-1										
	s^考	s^(而-2)*(P≡s)								
4	3.503507537	1.159367289	1.160350805	1.161633531	1.163265955	1.164334481	1.165322646	1.166482355	1.167880627	1.169157893
5	4.793236085	1.168128865	1.169920669	1.171893204	1.174463058	1.176096217	1.178033184	1.179818796	1.181850469	1.183944581
6	6.557745895	1.170220467	1.172898134	1.176110302	1.179564246	1.182372636	1.185149662	1.187983895	1.190933321	1.194301027
7	8.971815795	1.167109175	1.170989698	1.175612414	1.180566419	1.184844671	1.188917108	1.193119512	1.197515398	1.202277247
8	12.27456506	1.159023761	1.164897259	1.17159247	1.178153229	1.184256721	1.190398383	1.196478446	1.202765012	1.209387778
9	16.79313875	1.145717041	1.154396684	1.163731719	1.172971781	1.181709054	1.19059404	1.199045107	1.208033235	1.217305876
10	22.97511217	1.126634744	1.138792246	1.152046884	1.164572872	1.177242325	1.189828011	1.201656783	1.214079356	1.227030816
11	31.43282426	1.09969485	1.116909828	1.1350623	1.152736034	1.170404748	1.188082456	1.204521399	1.222002799	1.240198028
12	43.00403122	1.063224331	1.086836837	1.111708105	1.136210584	1.160866852	1.185239135	1.208404859	1.232542436	1.257767949
13	58.8348882	1.013422999	1.046211493	1.079911753	1.113573071	1.147500004	1.18095601	1.213594041	1.246946235	1.281493144
14	80.49347866	0.945967616	0.990917838	1.036558518	1.083025382	1.129049043	1.175500923	1.220744306	1.266177224	1.313757759
15	110.1251367	0.855870702	0.916605572	0.97848235	1.041226136	1.103776109	1.167940569	1.230583688	1.293453527	1.358346946
16	150.6649475	0.737412486	0.81735733	0.899649785	0.984194604	1.069789033	1.157701119	1.244231274	1.330783777	1.41952448
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1754	-0.002922022				
					0.1755	-0.020161844				
					0.1756	-0.001944572				
					0.1757	-0.001406803				
					0.1758	-0.000838363				
					0.1759	-0.000252578				
					0.176	0.000336647				
					0.1761	0.000920829				
					0.1762	0.001509073				
										
SC-124										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.2457	0.2458	0.2459	0.246	0.2461	0.2462			
0	1	1	1	1	1	1	1			
1	1.368124953	1.02058919	1.020764331	1.020765644	1.020716805	1.02117936	1.021201597			
2	1.871765887	1.074352305	1.074453209	1.074535356	1.074560391	1.075381269	1.075543607			
3	2.560809617	1.107924388	1.108310258	1.108761265	1.108851399	1.110151522	1.110329758			
4	3.503507537	1.130051309	1.130803065	1.131549771	1.132128659	1.133833726	1.134475733			
5	4.793236085	1.143789871	1.145053282	1.146460588	1.14735159	1.149729895	1.15092708			
6	6.557745895	1.151588977	1.153614425	1.155559973	1.157085995	1.160340359	1.162297439			
7	8.971815795	1.154659094	1.15786221	1.160639939	1.163053723	1.167514838	1.170774195			
8	12.27456506	1.154489127	1.159375248	1.162924657	1.166844256	1.172880626	1.177222109			
9	16.79313875	1.151348022	1.158036343	1.163744077	1.169458229	1.177495677	1.183613156			
10	22.97511217	1.145338965	1.154809876	1.162929117	1.171371423	1.182282287	1.191315322			
11	31.43282426	1.13599811	1.149426372	1.161538521	1.173364601	1.187498249	1.200340391			
12	43.00403122	1.123462356	1.141728134	1.158869323	1.175782162	1.193972474	1.212336552			
13	58.8348882	1.106270933	1.130454254	1.154778737	1.177840534	1.203722443	1.228320465			
14	80.49347866	1.082143156	1.115879087	1.149090558	1.181073183	1.216388972	1.250557503			
15	110.1251367	1.04928261	1.095261476	1.141625893	1.186286916	1.233476873	1.279853817			
16	150.6649475	1.004615834	1.067101838	1.130303936	1.192801186	1.257368356	1.321002175			
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.2457	-0.0011018				
					0.2458	-0.026322319				
					0.2459	-0.00027928				
					0.246	0.000160688				
					0.2461	0.000589334				
					0.2462	0.001015011				
										
SC-134										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.1034	0.1035	0.1036	0.1037	0.1038	0.1039	0.104	0.1041	0.1042
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.011469819	1.011674431	1.012048372	1.012414196	1.012753741	1.013103735	1.01343613	1.01344187	1.013676529
2	1.871765887	1.035972619	1.03648561	1.037315224	1.037708997	1.038828847	1.039367968	1.040086331	1.040401357	1.040971652
3	2.560809617	1.058058945	1.059259192	1.060293376	1.061361446	1.063034407	1.064104606	1.065520661	1.066274455	1.067407352
4	3.503507537	1.072934725	1.075097635	1.076867197	1.078523935	1.081066761	1.082825364	1.085021444	1.086542444	1.088741387
5	4.793236085	1.080796983	1.083981658	1.086633109	1.089653239	1.093377863	1.096128371	1.099536145	1.101907434	1.105588207
